lon_wgs84,lat_wgs84,case,name,office_count,residential_count,mall_count,metro_station_count,dist_to_nearest_luckin,dist_to_nearest_starbucks,dist_to_nearest_metro_exit
118.14987506800466,24.532230387542487,1,瑞幸咖啡(博宏科技大厦店),46,14,1,0,197.77819906014938,656.8143287341892,670.031128438167
118.12740804805837,24.536627802673543,1,瑞幸咖啡(高崎机场T3航站楼B1店),8,1,0,0,780.847524235456,149.2229436412104,1538.2097696310193
118.17992204178655,24.484163695006533,1,瑞幸咖啡(创想中心B座店),10,15,0,1,277.7072936226687,180.74873217607586,50.266571727936984
118.17608150369432,24.48551883912804,1,瑞幸咖啡(创想中心A座店),25,17,1,1,253.92864044473586,452.14863635177767,399.67927350299703
118.12268859849395,24.49429965002008,1,luckin coffee 瑞幸咖啡(汇腾天虹店),32,39,3,1,279.6192119644846,71.06191973288965,20.20651138121558
118.15776652069115,24.52984046063014,1,瑞幸咖啡(希尼亚国际大厦店),54,18,0,0,181.85396284692425,586.2737453208342,575.2815855958526
118.15202166118503,24.54039509993039,1,瑞幸咖啡(厦门五石商务中心店),8,9,0,0,834.1178127698057,724.8153800981169,849.6893260982638
118.17529098931378,24.493366570250885,1,瑞幸咖啡(软件园二期27号楼店),4,0,1,0,176.25224061995212,792.6732618619463,872.4920376099121
118.12126802302092,24.55245003212232,1,luckin coffee 瑞幸咖啡(航空自贸广场店),19,8,1,0,328.2336185119861,325.6778994489839,1594.769045773473
118.18209204872826,24.5303208902891,1,瑞幸咖啡(宝拓大厦店),22,12,2,0,157.16897363323903,264.9050806434821,1206.5800776964898
118.09747701237588,24.435785973738582,1,瑞幸咖啡(厦门大学南门白城沙滩店),0,7,0,0,348.22538238073645,830.3951620380157,2711.636387410083
118.15278823771973,24.53036639591598,1,luckin coffee 瑞幸咖啡(合立道大厦店),83,20,0,0,214.15512380825297,573.2916416748642,466.3644069959962
118.17801963868442,24.508849815488222,1,瑞幸咖啡(新景地大厦店),27,15,2,0,181.39205232111703,178.4721373545744,911.4728092117531
118.17453598744818,24.50928641468043,1,瑞幸咖啡(厦门中国人寿大厦店),25,17,3,0,298.4157099023233,55.78848159206253,1139.5331598826194
118.11037348124614,24.435482758284188,1,瑞幸咖啡(软件园一期北区店),12,15,0,0,605.6783403664434,76.13991164314963,3434.534168344198
118.12706491147296,24.529583583299406,1,luckin coffee 瑞幸咖啡(太古生活区店),6,16,0,0,780.847524235456,785.2586857225344,1142.8155813076207
118.19194282806392,24.491180779349254,1,瑞幸咖啡(观音山世纪大厦店),28,5,1,0,160.34935244269184,1290.990041535212,498.31950859181495
