lon_wgs84,lat_wgs84,name,case,office_count,residential_count,mall_count,metro_station_count,dist_to_nearest_starbucks,dist_to_nearest_luckin,dist_to_nearest_metro_exit
118.12724308201705,24.50887220373871,(control),0,19,37,1,0,727.1696686204194,118.05704377205498,856.6930322017078
118.12741704534268,24.50781714899473,(control),0,18,36,1,0,668.5817380761806,201.57819031162904,813.2158422969565
118.16522956000574,24.495876803399366,(control),0,5,26,2,0,203.9438205817918,864.0877730995726,949.0310615298351
118.10463190276883,24.535333807063306,(control),0,5,9,0,0,1149.8290010499727,988.6701445915008,874.3389819592552
118.15201548413123,24.4791315321515,(control),0,6,20,5,0,352.1381695061963,167.8937450827955,1138.8596742358602
118.14900855717546,24.473824322081022,(control),0,0,9,0,0,772.3095310798527,812.2330335858196,1690.4614053865193
118.18708505675032,24.486299772558326,(control),0,23,20,1,1,646.1796642672628,386.0527311358608,150.1787742415632
118.09201996246797,24.51514423595554,(control),0,45,24,0,0,190.88544749845624,315.69036501239856,1054.9953417648762
118.13749772538839,24.529440571925093,(control),0,11,17,1,0,169.87861480164807,188.39801495587844,852.2781967254772
118.14242481165496,24.499406439914274,(control),0,6,51,0,0,1516.2627927362155,239.32820486824573,724.3675951491033
118.1741134545589,24.507842291561545,(control),0,20,18,2,0,207.38177056562432,150.30770836442585,1270.9872651100648
118.11752943757169,24.481864107828933,(control),0,22,37,6,1,304.4073941690187,223.08289071513417,340.0702572280494
118.1365125600829,24.531051059326195,(control),0,11,17,1,0,363.0116695043615,366.687313540403,1056.6446211302
118.11819971690699,24.508094798978487,(control),0,8,30,2,1,140.60130410847805,149.96979038986964,36.804634795263055
118.15513174202852,24.45382643840967,(control),0,0,6,0,0,2663.526016376729,1064.4031919050497,3798.0166962752405
118.08472849895134,24.468819556504354,(control),0,30,76,5,0,244.3109467265287,257.409742050902,1048.0417235486316
118.08271005031321,24.45928888285995,(control),0,17,51,2,1,644.8945823231678,361.8017721323026,185.2920869435765
118.07517901302909,24.485175250775526,(control),0,13,22,0,1,506.1308194243223,370.09625080702506,335.8258770508505
118.08854142463225,24.47146271652164,(control),0,20,74,3,0,314.2031803033073,307.2535486079902,978.3738204834384
118.1348640900572,24.517800406261692,(control),0,15,24,0,1,1266.0371660465435,139.2510180659468,330.6889062798085
118.18207559748144,24.526022174839262,(control),0,7,12,0,0,719.0551097816513,476.04790205109464,778.1520858222822
118.11413465387906,24.488548964158962,(control),0,20,37,1,1,512.2059760695536,396.1058555282005,401.04598506383564
118.12848948975207,24.525910104434754,(control),0,4,32,1,0,1097.6131101035737,431.64127349389344,724.7789723960974
118.13615205482844,24.495310893009034,(control),0,4,57,0,1,1108.4197545217844,308.84217579902804,195.92478496011321
118.09835057184885,24.473311862557136,(control),0,18,45,1,1,100.30004197529986,138.42487271780837,169.12735720690196
118.08933886857461,24.466237869372936,(control),0,16,58,3,0,647.2589122863131,59.659818258014106,591.0133979501762
118.14892462886311,24.516195902304887,(control),0,13,18,1,0,658.8623485968272,411.2458038452828,865.7626944297097
118.17942019332489,24.490526685191494,(control),0,6,3,0,0,561.2789409841896,249.07270259616612,740.5379983883707
118.14787192885836,24.525621462485915,(control),0,12,28,0,1,966.4114670108517,270.5593851726127,345.933655236495
118.10061657489489,24.471293980583756,(control),0,23,56,1,1,292.6477926567581,285.49681893839767,175.33444795669132
